date,session,phase,deload,optional,trap_bar,squat,leg_curl,weighted_jumps,bench,bench_backoff,pullups,cable_row,lat_pulldown,preacher_curl,y_raise,cable_fly,dips,milestone,note
2026-11-21,light-lower,contingency,,,245,185,120×6,20,,,"2×4 easy, optional",,,,,,,,"Fasted, beltless, jumps first. Focus on bar speed, not weight."
2026-11-22,light-upper,contingency,,,,,,,145,,2 sets,160,160,40,20,35,1×10,,"Fasted. Keep the 3 x 8 smooth, no grinding."
2026-11-23,stretch,contingency,yes,,,,,,,,,,,,,,,,"Stretch under tension, or a 30-minute walk if wrecked."
2026-11-24,heavy-lower,contingency,yes,,255,190,120,,,,"2×4 easy, optional",,,,,,,,"Deload week, five weeks after the last one. Only if the stretch is still going; if the goals are done, this is the first cardio week."
2026-11-25,off-a,contingency,yes,,,,,,,,,,,,,,,,
2026-11-26,heavy-upper,contingency,yes,,,,,,165,150,2×5,140,140,30,15,,1×8,,"Deload bench, 165 then 150."
2026-11-27,off-b,contingency,yes,,,,,,,,,,,,,,,,Or basketball instead.
2026-11-28,light-lower,contingency,yes,,210,155,100,15,,,"2×4 easy, optional",,,,,,,,"Fasted, beltless, jumps first. Focus on bar speed, not weight."
2026-11-29,light-upper,contingency,yes,,,,,,125,,2 sets,140,130,30,15,30,1×8,,"Fasted. Keep the 3 x 8 smooth, no grinding."
2026-11-30,stretch,contingency,,,,,,,,,,,,,,,,,"Stretch under tension, or a 30-minute walk if wrecked."
2026-12-01,heavy-lower,contingency,,,300,225,140,,,,"2×4 easy, optional",,,,,,,,Goal weights again after the deload.
2026-12-02,off-a,contingency,,,,,,,,,,,,,,,,,
2026-12-03,heavy-upper,contingency,,,,,,,195,180,2×5,160,160,40,20,,1×10,,"Bench 195, back-offs 180."
2026-12-04,off-b,contingency,,,,,,,,,,,,,,,,,Or basketball instead.
2026-12-05,light-lower,contingency,,,245,185,120×6,20,,,"2×4 easy, optional",,,,,,,,"Fasted, beltless, jumps first. Focus on bar speed, not weight."
2026-12-06,light-upper,contingency,,,,,,,145,,"test, if 10 is still open",160,160,40,20,35,1×10,,"Fasted. Keep the 3 x 8 smooth, no grinding."
2026-12-07,stretch,contingency,,,,,,,,,,,,,,,,,"Stretch under tension, or a 30-minute walk if wrecked."
2026-12-08,heavy-lower,contingency,,,300,225,140,,,,"2×4 easy, optional",,,,,,,,
2026-12-09,off-a,contingency,,,,,,,,,,,,,,,,,
2026-12-10,heavy-upper,contingency,,,,,,,200,185,2×5,160×6,160,40,20,,1×10,,"Bench 200, back-offs 185. The plan's realistic December number."
2026-12-11,off-b,contingency,,,,,,,,,,,,,,,,,Or basketball instead.
2026-12-12,light-lower,contingency,,,245,185,120×6,20,,,"2×4 easy, optional",,,,,,,,"Fasted, beltless, jumps first. Focus on bar speed, not weight."
2026-12-13,light-upper,contingency,,,,,,,145,,2 sets,160×6,160×6,40,20,35,1×10,,"Fasted. Keep the 3 x 8 smooth, no grinding."
2026-12-14,stretch,contingency,,,,,,,,,,,,,,,,,"Stretch under tension, or a 30-minute walk if wrecked."
2026-12-15,heavy-lower,contingency,,,300,225,140,,,,"2×4 easy, optional",,,,,,,,"The plan ends Dec 20. If a goal is still open then, keep going with the same pattern; the deadline is Dec 31."
2026-12-16,off-a,contingency,,,,,,,,,,,,,,,,,
2026-12-17,heavy-upper,contingency,,,,,,,200,185,2×5,160×6,160×6,40,20,,1×10,,Bench stays at 200.
2026-12-18,off-b,contingency,,,,,,,,,,,,,,,,,Or basketball instead.
2026-12-19,light-lower,contingency,,,245,185,120×6,20,,,"2×4 easy, optional",,,,,,,,"Fasted, beltless, jumps first. Focus on bar speed, not weight."
2026-12-20,light-upper,contingency,,,,,,,145,,"test, if 10 is still open",160×6,160×6,40,20,35,1×10,,"Fasted. Keep the 3 x 8 smooth, no grinding."
